filename,label
Image_1.jpg,Pear 2
Image_2.jpg,Tomato Heart
Image_3.jpg,Plum 3
Image_4.jpg,Pear Stone
Image_5.jpg,Cherry 2
Image_6.jpg,Tomato Cherry Red
Image_7.jpg,Apple Granny Smith
Image_8.jpg,Kumquats
Image_9.jpg,Cherry Wax Yellow
Image_10.jpg,Tangelo
Image_11.jpg,Tomato 3
Image_12.jpg,Tomato 1
Image_13.jpg,Apple Red Delicious
Image_14.jpg,Cactus fruit
Image_15.jpg,Tomato Yellow
Image_16.jpg,Eggplant
Image_17.jpg,Lemon Meyer
Image_18.jpg,Apple Red 2
Image_19.jpg,Strawberry Wedge
Image_20.jpg,Blueberry
Image_21.jpg,Kohlrabi
Image_22.jpg,Carambula
Image_23.jpg,Pear
Image_24.jpg,Cherry 1
Image_25.jpg,Pear Stone
Image_26.jpg,Grape White 3
Image_27.jpg,Lemon
Image_28.jpg,Nut Forest
Image_29.jpg,Pitahaya Red
Image_30.jpg,Maracuja
Image_31.jpg,Plum 3
Image_32.jpg,Papaya
Image_33.jpg,Pepper Yellow
Image_34.jpg,Cherry 2
Image_35.jpg,Walnut
Image_36.jpg,Blueberry
Image_37.jpg,Cantaloupe 2
Image_38.jpg,Apple Red Yellow 2
Image_39.jpg,Pear Monster
Image_40.jpg,Grapefruit Pink
Image_41.jpg,Peach
Image_42.jpg,Quince
Image_43.jpg,Redcurrant
Image_44.jpg,Tomato 2
Image_45.jpg,Cherry Rainier
Image_46.jpg,Pear Stone
Image_47.jpg,Papaya
Image_48.jpg,Tomato not Ripened
Image_49.jpg,Cantaloupe 1
Image_50.jpg,Physalis
Image_51.jpg,Melon Piel de Sapo
Image_52.jpg,Tomato 2
Image_53.jpg,Nut Forest
Image_54.jpg,Tomato Heart
Image_55.jpg,Granadilla
Image_56.jpg,Onion Red Peeled
Image_57.jpg,Granadilla
Image_58.jpg,Grapefruit Pink
Image_59.jpg,Apple Red 1
Image_60.jpg,Salak
Image_61.jpg,Onion Red
Image_62.jpg,Onion Red
Image_63.jpg,Mango Red
Image_64.jpg,Huckleberry
Image_65.jpg,Cocos
Image_66.jpg,Grapefruit Pink
Image_67.jpg,Apricot
Image_68.jpg,Pineapple Mini
Image_69.jpg,Pepper Yellow
Image_70.jpg,Pomegranate
Image_71.jpg,Lychee
Image_72.jpg,Mandarine
Image_73.jpg,Banana Red
Image_74.jpg,Pear Williams
Image_75.jpg,Rambutan
Image_76.jpg,Apple Pink Lady
Image_77.jpg,Papaya
Image_78.jpg,Tomato Cherry Red
Image_79.jpg,Dates
Image_80.jpg,Passion Fruit
Image_81.jpg,Cherry Wax Yellow
Image_82.jpg,Pear Forelle
Image_83.jpg,Onion White
Image_84.jpg,Fig
Image_85.jpg,Tangelo
Image_86.jpg,Pear Forelle
Image_87.jpg,Strawberry
Image_88.jpg,Tangelo
Image_89.jpg,Apple Red Delicious
Image_90.jpg,Redcurrant
Image_91.jpg,Grape Pink
Image_92.jpg,Apple Golden 3
Image_93.jpg,Pepper Red
Image_94.jpg,Carambula
Image_95.jpg,Kiwi
Image_96.jpg,Strawberry Wedge
Image_97.jpg,Pear Monster
Image_98.jpg,Blueberry
Image_99.jpg,Pear Monster
Image_100.jpg,Tomato 3
Image_101.jpg,Kaki
Image_102.jpg,Limes
Image_103.jpg,Cantaloupe 1
Image_104.jpg,Pear
Image_105.jpg,Mandarine
Image_106.jpg,Cherry 1
Image_107.jpg,Eggplant
Image_108.jpg,Pear 2
Image_109.jpg,Grape White 4
Image_110.jpg,Nut Forest
Image_111.jpg,Apple Granny Smith
Image_112.jpg,Cherry Wax Red
Image_113.jpg,Pear Kaiser
Image_114.jpg,Tomato Maroon
Image_115.jpg,Apple Red 1
Image_116.jpg,Kaki
Image_117.jpg,Apple Golden 2
Image_118.jpg,Plum 3
Image_119.jpg,Lemon Meyer
Image_120.jpg,Apple Red 2
Image_121.jpg,Apple Granny Smith
Image_122.jpg,Cherry Wax Red
Image_123.jpg,Huckleberry
Image_124.jpg,Pomelo Sweetie
Image_125.jpg,Plum 2
Image_126.jpg,Tomato Heart
Image_127.jpg,Lychee
Image_128.jpg,Tomato not Ripened
Image_129.jpg,Cherry Rainier
Image_130.jpg,Onion Red Peeled
Image_131.jpg,Plum 3
Image_132.jpg,Nut Forest
Image_133.jpg,Apple Pink Lady
Image_134.jpg,Guava
Image_135.jpg,Apple Golden 3
Image_136.jpg,Onion Red
Image_137.jpg,Apple Golden 2
Image_138.jpg,Apple Red 2
Image_139.jpg,Grape White 4
Image_140.jpg,Grape White
Image_141.jpg,Corn
Image_142.jpg,Redcurrant
Image_143.jpg,Granadilla
Image_144.jpg,Tomato 1
